id,link,publish_data,category,title,author,img,img_caption,content
0,https://www.news24.com/sport/Cricket/Proteas/proteas-leadership-shake-up-temba-takes-over-test-captaincy-ahead-of-windies-series-20230217,1h ago,Sports,"Proteas shake-up: Bavuma handed Test captaincy, stands down from T20 role as De Zorzi called up",Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8361/c6a838fdef4649b1833da1c2ac430c99.jpg,Temba Bavuma (Gallo),
1,https://www.news24.com/sport/Cricket/Proteas/proteas-leadership-shake-up-temba-takes-over-test-captaincy-ahead-of-windies-series-20230217,1h ago,Sports,"Proteas shake-up: Bavuma handed Test captaincy, stands down from T20 role as De Zorzi called up",Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8361/c6a838fdef4649b1833da1c2ac430c99.jpg,Temba Bavuma (Gallo),
2,https://www.news24.com/sport/OtherSport/WaterSport/birkett-mackenzie-tighten-their-grips-on-the-dusi-titles-20230217,28m ago,Sports,"Birkett, Mackenzie tighten their grips on the Dusi titles",Compiled by Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8362/a3c022dba3874a6292f26c6b35e09b8c.jpg,Andy Birkett (Gallo),
3,https://www.news24.com/sport/Cricket/Proteas/proteas-leadership-shake-up-temba-takes-over-test-captaincy-ahead-of-windies-series-20230217,1h ago,Sports,"Proteas shake-up: Bavuma handed Test captaincy, stands down from T20 role as De Zorzi called up",Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8361/c6a838fdef4649b1833da1c2ac430c99.jpg,Temba Bavuma (Gallo),
4,https://www.news24.com/sport/OtherSport/WaterSport/birkett-mackenzie-tighten-their-grips-on-the-dusi-titles-20230217,29m ago,Sports,"Birkett, Mackenzie tighten their grips on the Dusi titles",Compiled by Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8362/a3c022dba3874a6292f26c6b35e09b8c.jpg,Andy Birkett (Gallo),
5,https://www.news24.com/sport/Cricket/SA20/biff-praises-temba-for-right-response-to-sa20-snub-reiterates-franchises-selection-autonomy-20230217,3h ago,Sports,"Biff praises Temba for 'right' response to SA20 snub, reiterates franchises' selection autonomy",Heinz Schenk,https://cdn.24.co.za/files/Cms/General/d/8249/51abb1a4ef464b299c73524e140aa18a.jpg,Temba Bavuma. (Photo by SA20/Sportzpics/Gallo Images),
6,https://www.news24.com/sport/Cricket/Proteas/proteas-leadership-shake-up-temba-takes-over-test-captaincy-ahead-of-windies-series-20230217,1h ago,Sports,"Proteas shake-up: Bavuma handed Test captaincy, stands down from T20 role as De Zorzi called up",Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8361/c6a838fdef4649b1833da1c2ac430c99.jpg,Temba Bavuma (Gallo),
7,https://www.news24.com/sport/OtherSport/WaterSport/birkett-mackenzie-tighten-their-grips-on-the-dusi-titles-20230217,29m ago,Sports,"Birkett, Mackenzie tighten their grips on the Dusi titles",Compiled by Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8362/a3c022dba3874a6292f26c6b35e09b8c.jpg,Andy Birkett (Gallo),
8,https://www.news24.com/sport/Cricket/SA20/biff-praises-temba-for-right-response-to-sa20-snub-reiterates-franchises-selection-autonomy-20230217,3h ago,Sports,"Biff praises Temba for 'right' response to SA20 snub, reiterates franchises' selection autonomy",Heinz Schenk,https://cdn.24.co.za/files/Cms/General/d/8249/51abb1a4ef464b299c73524e140aa18a.jpg,Temba Bavuma. (Photo by SA20/Sportzpics/Gallo Images),
9,https://www.news24.com/sport/Soccer/EnglishPremiership/saudis-join-race-to-buy-manchester-united-report-20230217,2h ago,Sports,Saudis join race to buy Man United as deadline nears - report,AFP,https://cdn.24.co.za/files/Cms/General/d/8249/51abb1a4ef464b299c73524e140aa18a.jpg,Temba Bavuma. (Photo by SA20/Sportzpics/Gallo Images),
10,https://www.news24.com/sport/Cricket/Proteas/proteas-leadership-shake-up-temba-takes-over-test-captaincy-ahead-of-windies-series-20230217,1h ago,Sports,"Proteas shake-up: Bavuma handed Test captaincy, stands down from T20 role as De Zorzi called up",Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8361/c6a838fdef4649b1833da1c2ac430c99.jpg,Temba Bavuma (Gallo),
11,https://www.news24.com/sport/OtherSport/WaterSport/birkett-mackenzie-tighten-their-grips-on-the-dusi-titles-20230217,29m ago,Sports,"Birkett, Mackenzie tighten their grips on the Dusi titles",Compiled by Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8362/a3c022dba3874a6292f26c6b35e09b8c.jpg,Andy Birkett (Gallo),
12,https://www.news24.com/sport/Cricket/SA20/biff-praises-temba-for-right-response-to-sa20-snub-reiterates-franchises-selection-autonomy-20230217,3h ago,Sports,"Biff praises Temba for 'right' response to SA20 snub, reiterates franchises' selection autonomy",Heinz Schenk,https://cdn.24.co.za/files/Cms/General/d/8249/51abb1a4ef464b299c73524e140aa18a.jpg,Temba Bavuma. (Photo by SA20/Sportzpics/Gallo Images),
